sep=;
Object;DCN;Description;Design Responsible;KOLA Time;Status;Fact No Time;Product Class;LinkID;Function Group;Suffix;Context;Usage;Partno;Part issue;Qty;Amount;UoM;Name;Variants;Added;Deleted;Parttype;Module;Safety Part;Direction;Old LinkID;New Link ID;AssyMark;AssyMark Fact
21-00299;K1615302;"FG650-03 - TR WHEEL ALIGNMENT FOR BOURG";03752;202409;Introduced;'27;=T("23");606543;655 ;03;50;9;24124370; 01;00000;     ;;WHEEL ALIGNMENT;RAD-L90;K1530548;K1615302;U;033-   -   ;;;;;;
21-00299;K1615302;"FG650-03 - TR WHEEL ALIGNMENT FOR BOURG";03752;202409;Introduced;'27;=T("23");606544;655 ;03;50;9;24124370; 01;00000;     ;;WHEEL ALIGNMENT;RADD-BR;K1530548;K1615302;U;033-   -   ;;;;;;
21-00299;K1615302;"FG650-03 - TR WHEEL ALIGNMENT FOR BOURG";03752;202409;Introduced;'27;=T("23");606545;655 ;03;50;9;24124370; 01;00000;     ;;WHEEL ALIGNMENT;RADD-TR1;K1530548;K1615302;U;033-   -   ;;;;;;
21-00299;K1615302;"FG650-03 - TR WHEEL ALIGNMENT FOR BOURG";03752;202409;Introduced;'27;=T("23");606546;655 ;03;50;9;24124370; 01;00000;     ;;WHEEL ALIGNMENT;RADD-TR2;K1530548;K1615302;U;033-   -   ;;;;;;
21-00299;K1615302;"FG650-03 - TR WHEEL ALIGNMENT FOR BOURG";03752;202409;Introduced;'27;=T("23");733125;655 ;03;50;9;24613596; 01;00000;     ;;WHEEL ALIGNMENT;23-HDV;K1615302;K1617431;U;033-   -   ;;;;;;
22-00349;K1547960;"23-8821-01 REAR GRAB HANDLE FOR SUPPLIER SWITCH";06981;202347;Introduced;;=T("23");350302;8821;01;1;2;82575159;P03;00001;     ;001;GRAB HANDLE;23-HDV;K1220691;K1547960;K;095-005-010;;;;;;
22-00349;K1547960;"23-8821-01 REAR GRAB HANDLE FOR SUPPLIER SWITCH";06981;202347;Introduced;;=T("23");350304;8821;01;1;2;82575162;P03;00001;     ;001;GRAB HANDLE;23-HDV;K1220691;K1547960;K;095-005-010;;;;;;
22-00349;K1547960;"23-8821-01 REAR GRAB HANDLE FOR SUPPLIER SWITCH";06981;202347;Introduced;;=T("23");620567;8821;01;1;2;24216580;P03;00001;     ;001;GRAB HANDLE;23-HDV;K1547960;K1584583;K;095-005-010;Y;;;;;
22-00349;K1547960;"23-8821-01 REAR GRAB HANDLE FOR SUPPLIER SWITCH";06981;202347;Introduced;;=T("23");620568;8821;01;1;2;24216581;P03;00001;     ;001;GRAB HANDLE;23-HDV;K1547960;K1584583;K;095-005-010;Y;;;;;
22-00382;K1589971;"PC23: CLEAN UP VARIANT TOWT112";03778;202421;Approved;'27;=T("23");512842;9227;01;91;2;22840771;G01;00001;     ;;TOWING MEMBER            ;TMPF60,FIL-TXEB,TOWT112,TOWMBRH;K1409097;K1589971;5;045-015-010;;;;;;
22-00382;K1589971;"PC23: CLEAN UP VARIANT TOWT112";03778;202421;Approved;'27;=T("23");512843;9227;01;91;2;22840771;G01;00001;     ;;TOWING MEMBER            ;TMPF60,FIL-FBEB,TOWT112,TOWMBRH;K1409097;K1589971;5;045-015-010;;;;;;
